Province,Nearest major airport,Range/Region,Year first climbed,Name,Convenient Center,Difficulty,Country,Most recent eruption,Best months for climbing,Id,Elevation (meters),Heights,First successful climber(s),State,Longitude,Volcanic status,Elevation (feet),Latitude,Continent
,pullium,colorado plateau,,fremont peak,flagstaff,walk up,United States,,"jun, jul, aug, sep",1296,3648.0,11969 ft/3648 m,,arizona,-111.66,,11969.0,35.3231,north america
,seattle-tacoma,cascade range,,point 6951,enumclaw,scramble,United States,,"jul, aug, sep",4682,2119.0,6951 ft/2119 m,,washington,-121.638337,,6951.0,46.920069,north america
,seattle-tacoma,cascade range,,point 5868,"ashford, packwood",scramble,United States,,"jul, aug, sep",4683,1789.0,5868 ft/1789 m,,washington,-121.742901,,5868.0,46.732701,north america
,kunming(china),parallel gorges area,,yulong xue shan,lijiang,technical climb,China,,"jul, aug, sep",962,5596.0,18359 ft/5596 m,unclimbed!!!!!!!!!!!!!!!!!!!!!!!,,100.167,,18359.0,,asia
,osh,pamir,,myra i,osh,scramble,Kyrgyzstan,,"jun, jul, aug",2318,4950.0,16240 ft/4950 m,russian,,73.0,,16240.0,39.4333,asia
,urumqi,,,zanzber kangri,qiemo,major mountain expedition,China,,"apr, may, jun",2316,6972.0,22874 ft/6972 m,yet unclimbed,,34.3667,,22874.0,85.7667,asia
,valencia,sistema iberico,,mogorrita la,tragacete,walk up,Spain,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2317,1866.0,6122 ft/1866 m,,,-1.788712,,6122.0,40.359103,europe
,barajas (madrid),castile ranges,,calvitero,bejar,walk up,Spain,,"jan, feb, mar, apr, nov, dec",2314,2405.0,7890 ft/2405 m,unknown native shepperd,,-5.739155,,7890.0,40.293144,europe
,rio de janeiro - rj,,,black needles,"pusada alsene, itamonte - mg",scramble,Brazil,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2315,2787.0,9144 ft/2787 m,,,,,9144.0,,south america
,,wasatch range,,sundial peak,,technical climb,United States,,"may, jun, jul, aug, sep",2312,3146.0,10320 ft/3146 m,,utah,-111.685,,10320.0,40.5983,north america
,,,,sunset peak,,walk up,United States,,"apr, may, jun, jul, aug, sep",2313,3255.0,10678 ft/3255 m,,utah,,,10678.0,,north america
,salt lake city,southwest basins and ranges,,sunrise peak,salt lake city,basic snow/ice climb,United States,,"may, jun",2310,3437.0,11275 ft/3437 m,,utah,-109.558,,11275.0,33.9556,north america
,seattle-tacoma,olympic mountains,,eagle point,port angeles,walk up,United States,,"jul, aug, sep",4527,1904.0,6247 ft/1904 m,,washington,-123.40907,,6247.0,47.93925,north america
,"seattle, wa",cascade range,1950.0,north early winters spire,"winthrop, wa",technical climb,United States,,"may, jun, jul, aug, sep",298,2365.0,7760 ft/2365 m,"w. grande, p. schoening, & d. widrig",washington,-120.655417,,7760.0,48.512909,north america
,lyon,massif central,,mont dore,clemont-ferrand,walk up,France,,"apr, may, jun, jul, aug, sep, oct",299,1885.0,6184 ft/1885 m,vercingetorix,,2.78333,,6184.0,45.5,europe
,denver,front range,,grays peak,georgetown,walk up,United States,,"jun, jul, aug, sep",296,4350.0,14270 ft/4350 m,,colorado,-105.817,,14270.0,39.6339,north america
,seattle-tacoma,cascade range,,south early winters spire,mazama,technical climb,United States,,"may, jun, jul, aug, sep",297,2380.0,7807 ft/2380 m,,washington,-120.655137,,7807.0,48.512215,north america
,"colorado springs, co, albuquerque, nm",sangre de cristo range,1874.0,blanca peak,"fort garland, blanca, or   alamosa, co",scramble,United States,,"jun, jul, aug",294,4372.0,14345 ft/4372 m,gilbert thompson and frank carpenter,colorado,-105.485,,14345.0,37.5772,north america
,toulouse or lourdes,pyrenees,,la munia,luz,scramble,Spain,,"jun, jul, aug, sep",295,3133.0,10279 ft/3133 m,,,0.130763,,10279.0,42.716277,europe
,kiruna,,1879.0,sarektjkk,g?llivare,scramble,Sweden,,"jun, jul, aug, sep",292,2089.0,6854 ft/2089 m,g.w bucht,,17.7167,,6854.0,67.4167,europe
,"sion or geneva, switzerland",,1868.0,aiguille de la tsa,"arolla, switzerland",technical climb,Switzerland,,"jul, aug, sep",293,3668.0,12034 ft/3668 m,"pierre beytrison, gaspard gaspoz, pierre quinodoz, pierre vuignier et jean vuignier",,7.522222,,12034.0,46.021389,europe
,"kalispell, mt",central montana rockies,1923.0,bearhat mountain,"west glacier, mt",scramble,United States,,"jun, jul, aug, sep",290,2647.0,8684 ft/2647 m,norman clyde,montana,-113.763771,,8684.0,48.666931,north america
,melbourne,victoria alps,,"bogong, mount",mt. beauty,walk up,Australia,,"jan, feb, apr, sep, oct, nov, dec",291,1986.0,6516 ft/1986 m,,,,,6516.0,,australia/oceania
,salzburg,austrian alps,,gennerhorn,hallein,walk up,Austria,,"jun, jul, aug, sep, oct",3773,1735.0,5691 ft/1735 m,,,13.30925,,5691.0,47.674866,europe
,salzburg,bavarian alps,,kneifelspitze,berchtesgaden,walk up,Germany,,"mar, apr, may, jun, jul, aug, sep, oct, nov",3772,1189.0,4000 ft/1189 m,,,13.016739,,4000.0,47.657872,europe
,salzburg,bavarian alps,,grünstein,berchtesgaden,walk up,Germany,,"mar, apr, may, jun, jul, aug, sep, oct, nov",3771,1304.0,4277 ft/1304 m,,,12.958031,,4277.0,47.588336,europe
,salzburg,austrian alps,,trattberg,hallein,walk up,Austria,,"may, jun, jul, aug, sep",3770,1757.0,5763 ft/1757 m,,,13.273716,,5763.0,47.64122,europe
,san felipe,coastal venezuela,,cerro tigre,san felipe,walk up,Venezuela,,"jan, mar, oct, nov, dec",3777,1945.0,6381 ft/1945 m,,,-68.80012,,6381.0,10.404248,south america
,salzburg,bavarian alps,,hirschwiese,berchtesgaden,walk up,Germany,,"jul, aug, sep",3776,2113.0,6934 ft/2113 m,,,12.917519,,6934.0,47.529836,europe
,salzburg,bavarian alps,,toter mann,berchtesgaden,walk up,Germany,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3775,1392.0,4566 ft/1392 m,,,12.923098,,4566.0,47.630867,europe
,salzburg,bavarian alps,1783.0,schneibstein,berchtesgaden,walk up,Germany,,"jul, aug, sep",3774,2274.0,7459 ft/2274 m,franz von schranck,,13.056393,,7459.0,47.561701,europe
alberta,calgary,canadian rockies,1936.0,"weed, mount",banff,scramble,Canada,,"jun, jul, aug, sep",3687,3080.0,10105 ft/3080 m,"gest, m/m kingman, kingman jr., kingman, hasler",,-116.527605,,10105.0,51.791736,north america
,internacional simón bolívar,coastal venezuela,1901.0,pico la ceniza,colonia tovar,scramble,Venezuela,,"jan, mar, oct, nov, dec",3779,2447.0,7995 ft/2447 m,alfredo jahn hartmann,,-67.429276,,7995.0,10.376304,south america
,"manchester, liverpool",lake district,,esk pike,keswick,walk up,United Kingdom,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3778,885.0,2903 ft/885 m,,,-3.17831,,2903.0,54.456468,europe
alberta,calgary,canadian rockies,1903.0,sheol mountain,banff,scramble,Canada,,"jul, aug",3686,2776.0,9108 ft/2776 m,topographical survey,,-116.221275,,9108.0,51.384209,north america
,"innsbruck, austria",otztal alps,1861.0,wildspitze,"vent, austria",basic snow/ice climb,Austria,,"jul, aug, sep",270,3772.0,12375 ft/3772 m,l. klotz,,10.8833,,12375.0,46.8833,europe
,zurich,,,drei türme,tschagguns,scramble,Austria,,"apr, may, jun, jul, aug, sep, oct",271,2830.0,9285 ft/2830 m,,,9.81667,,9285.0,47.0167,europe
,salt lake city,colorado plateau,,"waas, mount",moab,walk up,United States,,"may, jun, sep, oct",4657,3758.0,12331 ft/3758 m,,utah,-109.227718,,12331.0,38.539134,north america
,salt lake city,colorado plateau,,off-balance rock,moab,technical climb,United States,,"mar, apr, may, sep, oct, nov",4656,1591.0,5220 ft/1591 m,,utah,-109.563407,,5220.0,38.702096,north america
,bergen,jotunheimen,1885.0,store styggedalstind,övre årdal,basic snow/ice climb,Norway,,"jun, jul, aug, sep",4651,2387.0,7831 ft/2387 m,"carl christian hall, matias soggemoen, torger s. sulheim",,7.902639,,7831.0,61.464777,europe
,"taipei, taiwan",taiwan,1896.0,yushan,"alishan, taiwan",,Taiwan,,"may, jun, oct, nov",275,3997.0,13113 ft/3997 m,s. honda with forestry officials,,120.95,,13113.0,23.4667,asia
,"geneva, switzerland",pennine alps,1864.0,zinalrothorn,"zermatt, switzerland",technical climb,Switzerland,,"jul, aug, sep",276,4221.0,13848 ft/4221 m,"leslie stephen,  f. crauford grove,  melchior andregg,  jakob andregg",,7.690044,,13848.0,46.063544,europe
,"munich, germany, innsbruck, austria",bavarian alps,,zugspitze,"munich, germany, innsbruck, austria",walk up,Germany,,"jul, aug, sep",277,2962.0,9718 ft/2962 m,,,10.9833,,9718.0,47.4167,europe
,"santo domingo, dominican republic",hispaniola,,pico duarte,"jarabacoa, dominican republic",walk up,Dominican Republic,,"jan, feb, mar, apr, dec",278,3175.0,10416 ft/3175 m,,,-70.9833,,10416.0,19.0333,north america
,"van, turkey",southeast anatolia,,"ararat, mount","dogubayazit, turkey",walk up,Turkey,,"jul, aug, sep",279,5165.0,16945 ft/5165 m,frederic parot,,44.3,extinct,16945.0,39.7,asia
,"great falls, mt",central montana rockies,,pollock mountain,"west glacier, mt",scramble,United States,,"jun, jul, aug, sep",3684,2801.0,9190 ft/2801 m,,montana,-113.702831,,9190.0,48.716309,north america
,seattle-tacoma,cascade range,1915.0,iron mountain,ashford,walk up,United States,,"jul, aug, sep",4659,1915.0,6283 ft/1915 m,mountaineers party,washington,-121.828371,,6283.0,46.793185,north america
,seattle-tacoma,cascade range,1915.0,pyramid peak,ashford,scramble,United States,,"jul, aug, sep",4658,2114.0,6937 ft/2114 m,mountaineers outing(?),washington,-121.81204,,6937.0,46.806867,north america
,seattle-tacoma,cascade range,1950.0,cascade peak,marblemount,scramble,United States,,"jul, aug, sep, oct",3211,2264.0,7428 ft/2264 m,"fred beckey, pete schoening, phil sharpe",washington,-121.080108,,7428.0,48.463417,north america
,"concord, new hampshire",white mountains,,"monroe, mount","littleton, north conway",scramble,United States,,"may, jun, jul, aug, sep",2268,1641.0,5384 ft/1641 m,,new hampshire,-71.3225,,5384.0,44.2556,north america
,tolouse/barcelona/bilboa,pyrenees,,picos del infierno,sallent dellago/banos de panticosa,walk up,Spain,,"may, jun, jul, sep",2269,3082.0,10111 ft/3082 m,,,-0.265045,,10111.0,42.783811,europe
,anchorage,alaska range,,gravel mountian,healy,scramble,United States,,"jun, jul, aug, sep",2262,2044.0,6705 ft/2044 m,,alaska,,,6705.0,,north america
,brisbane,,,"kaputar, mount",narrabri,,Australia,,,2263,1508.0,4947 ft/1508 m,,,150.167,,4947.0,-30.25,australia/oceania
,christchurch,south island,1907.0,"lendenfeld, mount",mount cook village / franz josef village,basic snow/ice climb,New Zealand,,"jan, feb, mar, sep, oct, nov, dec",2260,3203.0,10508 ft/3203 m,a.graham / h.e newton,,,,10508.0,,australia/oceania
alberta,calgary,canadian rockies,,saddle peak,lake louise,walk up,Canada,,"jun, jul, aug, sep",2261,2437.0,7995 ft/2437 m,,,-116.208057,,7995.0,51.393958,north america
,st. louis,,1901.0,taum sauk,peidmont,walk up,United States,,"jan, mar, jun, jul, sep, dec",2266,542.0,1779 ft/542 m,danny washbuckle,missouri,-90.729144,,1779.0,37.571301,north america
,melbourne,victoria alps,,"feathertop, mount",harrietville,walk up,Australia,,"mar, apr, may, sep, oct, nov",2267,1922.0,6306 ft/1922 m,,,,,6306.0,,australia/oceania
,innsbruck,,1873.0,hochwand,leutasch,scramble,Austria,,"jun, jul, aug, sep, oct",2264,2723.0,8934 ft/2723 m,hermann von barth,,11.1167,,8934.0,47.4167,europe
,internacional rio de janeiro,,,pedra da gavea,like sugar loaf,walk up,Brazil,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2265,700.0,2297 ft/700 m,,,,,2297.0,,south america
,calgary,,1953.0,"sir sandford, mount","golden, british columbia",technical climb,Canada,,"jun, jul, aug, sep",2442,3520.0,11550 ft/3520 m,,,-117.8675,,11550.0,51.656667,north america
,aeropuerto de almería,andalucian ranges,,almirez,laujar de andarax,walk up,Spain,,"apr, may, sep",2443,2518.0,8261 ft/2518 m,,,-2.912407,,8261.0,37.087501,europe
,mount cook village,south island,,"aurora, mount",mt cook village or fox glacier village,basic snow/ice climb,New Zealand,,,2440,2663.0,8737 ft/2663 m,,,,,8737.0,,australia/oceania
,"manchester, nh",,,pawtuckaway,"raymond, nh",walk up,United States,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2441,303.0,995 ft/303 m,native americans,maine,,,995.0,,north america
,seattle,olympic mountains,1879.0,"ellinor, mount",shelton,walk up,United States,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, dec",2446,1812.0,5944 ft/1812 m,"h. esteps, d. utler, j. waughop",washington,-123.260636,,5944.0,47.521664,north america
,gallatin valley airport,central montana rockies,,sacagewea peak,bozeman,walk up,United States,,"mar, apr, may, jun, jul, aug, sep, oct",2447,2946.0,9665 ft/2946 m,,montana,-110.968,,9665.0,45.896,north america
,aeropuerto de almería,andalucian ranges,,chullo,laujar de andarax,walk up,Spain,,"apr, may, sep",2444,2610.0,8563 ft/2610 m,,,-3.000126,,8563.0,37.095169,europe
,sundsvall/ midlanda,,1900.0,bålleberget,bergsjlass,walk up,Sweden,,"jun, jul, aug, sep",2448,299.0,981 ft/299 m,lappstu jonke,,17.030208,,981.0,61.962005,europe
,santa barbara municipal,,,monte arido,santa barbara,walk up,United States,,"jan, feb, mar, apr, oct, nov, dec",2449,1832.0,6010 ft/1832 m,,california,,,6010.0,,north america
,"adisutjipto, adisumarmo",java ,,gunung merbabu,kopeng,walk up,Indonesia,,"jun, jul, aug, sep",2189,3144.0,10315 ft/3144 m,,,110.44,,10315.0,-7.455,asia
,"memmingen, innsbruck",austrian alps,1610.0,schesaplana,brand,walk up,Austria,,"jul, aug, sep",3690,2965.0,9724 ft/2965 m,"christa barball, claus manall und david pappus von tratzberg",,9.707222,,9724.0,47.053889,europe
,"denver, colorado",sawatch range,1873.0,"holy cross, mount of the ","leadville, colorado",walk up,United States,,"jun, jul, aug, sep",108,4269.0,14005 ft/4269 m,"f.v. hayden,  w.h. jackson",colorado,-106.479,,14005.0,39.4681,north america
,"portland, oregon",cascade range,1857.0,"hood, mount","timberline lodge, oregon",basic snow/ice climb,United States,,"may, jun, jul",109,3426.0,11237 ft/3426 m,"h.l. pittock, l. chittenden, w. cornell, reverend t.a. wood",oregon,-121.695642,,11237.0,45.373403,north america
,"innsbruck or salzburg, austria",hohe tauern,1841.0,grossvenediger,mitterstil,basic snow/ice climb,Austria,,"jul, aug, sep",102,3674.0,12054 ft/3674 m,forester rohregger and party,,12.35,,12054.0,47.1,europe
,"kathmandu, nepal",central nepal himalaya,1964.0,gyachung kang,"kathmandu, nepal",major mountain expedition,Nepal,,"apr, may",103,7952.0,26089 ft/7952 m,"y. kato,  k. sakaizawa,  pasang phutar,  (japanese expedition)",,86.75,,26089.0,28.1,asia
,"billings, montana",absaroka range,1923.0,granite peak,"red lodge, montana",scramble,United States,,"jul, aug, sep",100,3901.0,12799 ft/3901 m,elers koch,montana,-109.8,,12799.0,45.1667,north america
,"innsbruck or salzburg, austria",hohe tauern,1800.0,grossglockner,"heiligenblut, austria",basic snow/ice climb,Austria,,"jul, aug, sep",101,3798.0,12461 ft/3798 m,"count von salm, prince bishop of gurk, and his party of sixty",,12.7,,12461.0,47.0667,europe
,"fairbanks, alaska",alaska range,1941.0,"hayes, mount","delta, alaska",basic snow/ice climb,United States,,"apr, may, jun",106,4216.0,13832 ft/4216 m,bradford washburn and party,alaska,-146.716,,13832.0,63.62,north america
,"reykjavik, iceland",iceland,,hekla,"vik, iceland",walk up,Iceland,,"jul, aug, sep",107,1491.0,4892 ft/1491 m,,,-19.65,active,4892.0,64.0167,europe
,"oakland, california, reno, nevada",sierra nevada,1875.0,half dome,"yosemite national park, california",scramble,United States,,"jun, jul, aug",104,2695.0,8842 ft/2695 m,george anderson,california,-119.532,,8842.0,37.7461,north america
,"denver, colorado",sawatch range,1869.0,"harvard, mount","leadville, colorado",walk up,United States,,"jun, jul, aug, sep",105,4390.0,14420 ft/4390 m,w.m. davis and s. sharpless,colorado,-106.32,,14420.0,38.9244,north america
,salt lake intl,,,deseret peak,toole,walk up,United States,,"jul, aug, sep, oct",2046,3362.0,11031 ft/3362 m,,utah,-112.626,,11031.0,40.4597,north america
,ostrava - mosnov,,,lysa hora,ostravice,walk up,Czech Republic,,"feb, aug, sep, oct",2047,1324.0,4344 ft/1324 m,,,,,4344.0,,europe
,torino,,,chateau des dames,aosta,basic snow/ice climb,Italy,,"jul, aug",2042,3469.0,11381 ft/3469 m,,,,,11381.0,,europe
,seatac,olympic mountains,,"deception, mount",brinnon,scramble,United States,,"jun, jul, aug, sep",2043,2374.0,7788 ft/2374 m,,washington,-123.233507,,7788.0,47.813146,north america
,islamabad,,,malika parbat,naran,basic snow/ice climb,Pakistan,,"may, jun, jul",2040,5334.0,17500 ft/5334 m,,,73.734199,,17500.0,34.842049,asia
,graz,,,hochtor,admont,scramble,Austria,,"jun, jul, aug, sep",2041,2369.0,7772 ft/2369 m,,,14.632778,,7772.0,47.561667,europe
british columbia,vancouver,british columbia coast ranges,,"tinniswood, mount",egmont,basic snow/ice climb,Canada,,"apr, may, jun",1297,2682.0,8800 ft/2682 m,arthur tinniswood dalton,,-123.833,,8800.0,50.3,north america
,mineralnie vodi,central caucasus,,terskol,terskol,scramble,Russia,,"jun, jul, aug, sep",2048,3900.0,12795 ft/3900 m,,,,,12795.0,,europe
,lviv,carpathian mountains,,doboshanka,bistrica,walk up,Ukraine,,"mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2049,1754.0,5755 ft/1754 m,,,,,5755.0,,europe
,salt lake city,colorado plateau,,monster tower,moab,technical climb,United States,,"mar, apr, may, sep, oct, nov",4645,1779.0,5835 ft/1779 m,"layton kor, larry dalke, cub shafer",utah,-109.837335,,5835.0,38.38927,north america
,port moresby,,,"albert edward, mount",port moresby,walk up,Papua New Guinea,,"apr, may, jun, oct, nov",449,3990.0,13090 ft/3990 m,dca engineers,,147.333,,13090.0,-8.5,asia
,seattle-tacoma,cascade range,,mcgregor mountain,chelan,scramble,United States,,"jun, jul, aug, sep",3155,2480.0,8136 ft/2480 m,,washington,-120.798197,,8136.0,48.408238,north america
,seattle-tacoma,cascade range,1947.0,mix-up peak,marblemount,scramble,United States,,"jul, aug, sep",3154,2204.0,7231 ft/2204 m,"wesley grande, jack kendrick",washington,-121.060195,,7231.0,48.45414,north america
,crowley lake/mammoth,sierra nevada,,carson peak,june lake,walk up,United States,,"may, jun, jul, aug, sep",1364,3325.0,10909 ft/3325 m,,california,-119.117,,10909.0,37.75,north america
,spokane intl,columbia mountains,,abercrombie peak,"colville, wa",walk up,United States,,"may, jul, aug, sep",2038,2175.0,7136 ft/2175 m,,washington,,,7136.0,,north america
,iloilo international airport,,1977.0,"madias, mount","culasi, antique",major mountain expedition,Philippines,none,"jan, feb, mar, apr, may",3159,2.0,6 ft/2 m,the antique mountaineering society,,122.178,,6.0,11.3963,asia
,"reno, nv",sierra nevada,,echo peak,s. lake tahoe,basic snow/ice climb,United States,,"feb, mar, apr, may",3518,2711.0,8895 ft/2711 m,,california,-120.072962,,8895.0,38.856574,north america
,seattle-tacoma,cascade range,1931.0,"degenhardt, mount",everett,technical climb,United States,,"jul, aug, sep",3512,2444.0,8020 ft/2444 m,william degenhardt and herbert strandberg,washington,-121.294427,,8020.0,48.771493,north america
,,java ,,"slamet, mount",,scramble,Indonesia,1999,"jul, aug, sep",3517,3428.0,11247 ft/3428 m,,,109.214444,dormant,11247.0,-7.241389,asia
,seattle-tacoma,cascade range,1895.0,sauk mountain,concrete,scramble,United States,,"jun, jul, aug, sep, oct",3516,1689.0,5541 ft/1689 m,g.o. smith,washington,-121.600842,,5541.0,48.523057,north america
,,,,peitlerkofel,,scramble,,,"jun, jul, aug, sep, oct",3515,2875.0,9432 ft/2875 m,,,11.819722,,9432.0,46.658889,europe
